"May 11, 2020",Quality,My phone,5.0,positive
"May 11, 2020",Crystal clear iPhone 11 case,"I love this style of case - clear and protective.  The silicone feel to this case is great!  It offers just the right amount of grab/drag when putting my phone in my pocket or on a surface.  It doesn't slide, but is not sticky.",5.0,positive
"May 10, 2020",Meets my needs for a cover,"Low cost, works well with my phone",5.0,positive
"May 10, 2020",Good,Great case,5.0,positive
"May 10, 2020",Quality,"So I bought this case probably 7 months ago.( By the way this is my daughters review) So when I got it, it was great! I recommend this case if you are looking to protect your phone. BUt i have noticed that the sides began to tunr yellow. I belive this is because of a chemical in the plastic and the rays from the sun mixing or something. But what i also dislike about this case is that crumbs and stuff can go in the case because of the cracks for the side buttons. Also, i drop my phone a lot but oncxe when i dropped it, it scrached the case really badly also my phone. So make sure that you dont drop it on hrad surfaces. Overall, this is a good case.",5.0,positive
"May 10, 2020",Worth the money,Perfect fit to our phone! Sturdy and will be great protection against damage to our new iphone.,5.0,positive
"May 9, 2020",Super sturdy,I love this case! Fits my iPhone 11 perfect. Very protective,5.0,positive
"May 9, 2020",Great product,This case is for my son. He love it.,5.0,positive
"May 8, 2020",Love it,Love the color and firmness goes right with my iPhone 11,5.0,positive
"May 8, 2020","Nice case, but is clear not all red","This is not a red case, it is red outlined clear case! Which I should have noticed, but I didn’t! Other than that it is a good case",4.0,positive
"April 19, 2020",Durable,It works very well.  It feels good in the hand and is pretty sturdy when dropped. No issues at all. Plus you can see the color iPhone I got.,5.0,positive
"April 19, 2020",La rapidez de la entrega,Si muy bonito,5.0,positive
"April 19, 2020",Case,Good case,4.0,positive
"April 18, 2020",Great case,Great affordable case,5.0,positive
"April 18, 2020",Well fitting and High Quality,Case fits the phone like a glove. This is our fourth Spigen case. The case is high quality and Spigen stands behind their products. Will always use this company.,5.0,positive
"April 18, 2020","Sleek, protective case!","My boys loved that the side buttons on the phone are really easy to push through the case unlike some phones. It fits the phone really good, is very protective and looks awesome with the red iPhone. Also, fast shipping. Thank you so much!",5.0,positive
"April 18, 2020",Sturdy with a lot of small details that make it great.,"I’ve been using Spigen for years and their quality just keeps getting better.My last clear ultra Hybrid case was for an LG V20 which eventually yellowed pretty badly. I still loved the case, but the yellowing material was a real downer.So, far this one has held up extremely well and fits very snuggly to the phone.The lip that extends over the screen is just that extra added protection while the corners been a little beefer keeps it from breaking.The small details like the added feet on the back of the case that are hard to see, but make it level with the camera bump just add to the over stability of the device when it’s on a table.I love been able to show off the gorgeous red while keeping it well protected.",5.0,positive
"April 18, 2020",great case,great case,5.0,positive
"April 17, 2020",Nothing,I like everything,1.0,negative
"April 17, 2020",Great quality!,"Arrived quickly, nice product for my iPhone 11.",5.0,positive
"January 16, 2020",Best case ever,It looks and works very well.Transparent and lightweight.It protects my iPhone from every surface.,5.0,positive
"January 16, 2020",Great Iphone Case,"This case we bought for our daughter and she is a stickler about what cases are good etc..  She loves this case which is easy to hold, can use all of the buttons, and allows her colored iPhone so show through.  Would recommend for sure.",5.0,positive
"January 16, 2020",Lookin good,Looks great! Quality feels good. No issues so far.,5.0,positive
"January 16, 2020",Good buy,Easy to use,5.0,positive
"January 16, 2020",I recommend!,"I have adored spigen brand for cheaper cases, they are sturdy and don’t feel cheap at all. Recommend for sure!",5.0,positive
"January 15, 2020",Well made case !,Love this case its built well and has protected my phone.,4.0,positive
"January 15, 2020",Like it so far,My phone,4.0,positive
"January 15, 2020","Very little protection, bought a better case",Actually bought a better case for very little bit more,3.0,negative
"January 15, 2020",Great case,Sleek and great price.,5.0,positive
"January 15, 2020",Phone case,Great product. Easy to use. Feels durable.,5.0,positive
"January 15, 2020",perfect!! simple,"works great, simple nice feel",5.0,positive
"January 15, 2020",Great case,Great case at a great price.  Works well with Qi charger.,5.0,positive
"January 15, 2020",feels durable looks durable clear good case to show off the new iphone,It is looks good and it feels like it will last a while but only time will tell. So far i like this case .,5.0,positive
"January 15, 2020",Great product,Love the case excellent protection,5.0,positive
"January 15, 2020",Good,Always a quality case from Spigen,5.0,positive
"January 15, 2020",Extremely good for the price!,I expected it to be not very durable considering the price. I was surprised but the quality of the case for the price for what I payed for it,5.0,positive
"January 15, 2020",Nice medium level protection case; not heavy duty,It’s not a bad case but not protective enough for me. Perfect if you only need medium level protection.,4.0,positive
"January 15, 2020",Bought one then HAD to get another!,This is a great case. Ordered one for my daughter and after giving it to her I had to order one for myself!  Comfortable and very durable. Protects the camera on the other side as well. Very happy with this purchase.,5.0,positive
"January 15, 2020",Great case,Sturdy and easy to put on!,5.0,positive
"January 15, 2020",Great case,Great case for the iPhone 11 makes holding the phone much easier and great design!Going to buy another one for my dad.,5.0,positive
"January 15, 2020",It is just average,It’s good but not value for money,4.0,positive
"January 14, 2020",Life saver,"Good case, my wife ended up returning the phone but it kept her from breaking it until then!",4.0,positive
"January 14, 2020",Great case for an awesome price. 10/10,I love the feel of this case - it’s rubberized(?) but smooth. It’s not too bulky and fits nicely in my hand. It has a small raised edge around the front and the back where the lenses are. My friend has an Otterbox case like this one and they’re indistinguishable side by side. I’m going to buy another one of these cases with glitter so I can switch it out when I’m feeling fancy.,5.0,positive
"January 14, 2020",Perfect fit and color.,Fits my iPhone 11 perfectly.  Not slippery at all.  I got the mint green and matches my mint green phone perfectly.  It is transparent so you can see the Apple through it if that’s important to you,5.0,positive
"January 14, 2020",Very Good and Durable,I love this case!,5.0,positive
"January 14, 2020",Great iPhone case,Love this case. Fits perfectly and looks great. Not bulky. Slim and sleek and protective.,5.0,positive
"January 14, 2020",The irony of how this case was scratched immediately,"The case comes with protective film on both sides of the transparent part of the case. Getting the film off of the outside is not a problem, but the inside is not so easy. I had to use my fingernail to get under the film to remove it, thereby scratching precisely what the film was trying to protect!In another example of irony, the edges of the case appear to be for you to get a grip on (in addition to providing protection) are quite slippery in my hands, but the transparent part (what I expected to be slippery) offers a decent grip.Neither of these is a deal-breaker, but they are enough to make my first impression of this case as being a ""meh"".",3.0,negative
"January 14, 2020",Durable and affordable,Great affordable case. I’d give it five stars if it wasn’t a fingerprint magnet.,4.0,positive
"January 14, 2020",Not as described,The description said matte black. The case that arrived is clear.,2.0,negative
"January 14, 2020",Very Durable,I love this case!  You can see my pretty mint colored phone with it on.  Its very durable and clear.  Great price!  Would order this item again and again.,5.0,positive
"January 14, 2020",So cool,It’s cool like that it’s clear,5.0,positive
"January 14, 2020",Awesome,Great product for great price,5.0,positive
"January 14, 2020",Green iPhone 11 case,Makes the color pop so much more!,5.0,positive
"January 14, 2020",Tape cannot be removed,The protective tape cannot be removed. Do not buy this.,1.0,negative
"January 14, 2020",Excelente,Excelente,5.0,positive
"January 14, 2020",pretty decent case,I’m glad to have a durable case AND still see the color of my actual phone through it,5.0,positive
"January 14, 2020",Fingerprint Magnet,"I normally love love love Spigen cases but this one is such a fingerprint magnet! (I bought the clear one) It drives me crazy because I'm wiping it down 6 times a day to get rid of the fingerprint marks. I'm also not sure why but I keep finding dust underneath the cover after a few days too. Never had that issue with my other Spigen cases..Other than that, it does a good job protecting my phone. Case is easy to take on and off but still snug.  The button and plugs are all accessible.",4.0,positive
"January 14, 2020",Saved my phone!,"This case fits my phone perfectly, and it has already saved it from a drop onto the pavement. Even after the drop, the case is in good condition with only minor dents. Shows smudges from fingerprints, but I don't care! I'd definitely buy again.",5.0,positive
"January 14, 2020",Great case,Great case,5.0,positive
"January 14, 2020",Recommended,"Dropped my phone about hip height by accident, phone in perfect condition. Protective and stylish.",5.0,positive
"January 13, 2020",Great buy,Great buy,5.0,positive
"January 13, 2020",Case became yellow after a month,"I liked the case, it offers great protection and looks very good.Unfortunately the case became yellow in a month. I can’t buy new cases every month.",3.0,negative
"January 13, 2020",Good if you want a silicone case,This is a great product to consider if you wantTo get a silicone case but put on items on the back,4.0,positive
"January 13, 2020",Worth of Money,Great Product,5.0,positive
"January 13, 2020",Clear iphone 11 case,I love that its a light weight case and good quality,5.0,positive
"January 13, 2020",Great,"Fits great, and looks great!",5.0,positive
"January 13, 2020","Fast shipping, great quality",I absolutely love it.,5.0,positive
"January 13, 2020",So far so good!,I just received this a few days ago but so far I Love It!,5.0,positive
"January 13, 2020",Great case,Just as good as the apple made silicon case. Already dropped phone from about 10 ft and it protected it with no damage,5.0,positive
"January 13, 2020",A great product,Dropped my phone several times nothing. Only complaint it is not close to air tight so dust or even hair has gotten in the case.,5.0,positive
"January 13, 2020",Impressed,❤️,5.0,positive
"January 13, 2020",Great,Great simple case,5.0,positive
"January 13, 2020",Affordable Case,"Great product.  Easy to attach to phone.  Great buy, price.",5.0,positive
"January 13, 2020",Slam dunk Speigen,Perfect case!,5.0,positive
"January 13, 2020",Buen producto,Era lo que esperaba 😊😉,5.0,positive
"January 13, 2020",Good case,Good price for a great case. Dropped my phone a few times already and case has been sturdy and survived,5.0,positive
"January 13, 2020",Used item?,I think the item I got was used. Its scratched and didn’t have the stickers on it.,1.0,negative
"January 13, 2020",Great case. Smart raised lip to prevent scratches on camera lens,I really like the lifted edges/raised lip to prevent surface scratches on the camera lens. Great idea!!,5.0,positive
"January 13, 2020",iphone 11 case,Good quality case.,5.0,positive
"January 13, 2020",High quality product,I usually don't like to order phone cases sight unseen so I was leery to order this case.  I have been very happy with the product.  Would order again.,5.0,positive
"January 13, 2020",Returning!,"The case is fine, but you have to peel off a protective covering on the inside and outside. There is no tab to take hold of to help you do this, so you have to use your fingernails or other object to try and get ahold of the edges. I tried everywhere, but couldn't find a place where the covering would come up. I didn't want to damage or scratch the case, so I am returning it for a different brand. Hoping it will be better.",3.0,negative
"January 13, 2020",Amazing!,"It’s a rugged little case. It fits very snug on my iPhone 11 and makes it a lot easier to hold. The sides are made out of a soft plastic, the kind that you just want to scratch! The back has lifted sections at its corners so the camera does not touch anything underneath the device which is awesome. And the back is clear which is always a must when you want to show off your brand new iPhone.",5.0,positive
"January 13, 2020",Sloppy fit,"I can't speak to the protection yet (ideally, I never will be able to :-)), but it seems like it will be good. (In fact, it's a bit thicker than I really wanted, so if you're looking for minimalist/ultra-thin, this isn't it.)What surprised me is the amount of play/movement in the horizontal fit. Each time I handle the phone, the middles of sides move in and out a bit. As far as I can remember, none of the cases I've had, across several phones, have exhibited this non-snug fit.Also, if anyone cares about this detail, the back shows finger smudges pretty badly.This case will tide me over until I find something I like better. (What I really want is a thin one with a built-in port cover to keep out pocket lint, but I haven't found any so far.)",3.0,negative
"January 13, 2020",Slim and sleek,"Slim case , look nice and clean",5.0,positive
"January 13, 2020",satisifed,product arrived timely and as described. very satisfied.,5.0,positive
"January 13, 2020",Super comfy and great looking,Great case!!,5.0,positive
"January 13, 2020",Love this case,So glad I found this case as I constantly drop my phone and it has always been protected due to this case,5.0,positive
"January 13, 2020",Good,Good,5.0,positive
"January 13, 2020",Very reliable and clear case,"Amazing case switched from the Speck clear case to this case and it hasn’t yellowed, no visible scratches on the back, very clear, not glossy. I’ve dropped it multiple times from high places and my phone and the case have been fine! 10/10 recommend.",5.0,positive
"January 12, 2020",Awesome case,Love this case!!!,5.0,positive
"January 12, 2020",Case,Great,5.0,positive
"January 12, 2020",Durable,I have dropped my phone a couple times and it protected it both times. And I would like to include I dropped it on pavement.,5.0,positive
"January 12, 2020",Fingerprints!!!,I really liked the way this phone case fit by phone! This case also has a great feeling in the hand. I will say that I took away 1 starts because this case attracts fingerprints like no other. I am constantly cleaning my phone case to keep it looking nice.,4.0,positive
"January 12, 2020",🔁,"No me gusto Mucho la línea remarcada del marco de la cámara, hace resaltarla más.",3.0,negative
"January 12, 2020",Durable,Nice. Seems durable.,4.0,positive
"January 12, 2020",Fits perfectly and seems well built.,Has enough overlap edge that falling on flat ground should prevent face from being scratched. Light weight and easy to hold. Arrived on time and in perfect codnition.,5.0,positive
"January 12, 2020",iPhone case,Appearance 5 stars,5.0,positive
"January 12, 2020","Great, simple case.",I bought the aqua case for my white iPhone 11 and it looks great because it adds a touch of color. The rubbery sides are great for prevention of dropping your phone. I run with my phone in my hand and the grip is very helpful. The clear back of the case has gotten some scratches on it but that is to be expected. Great product for the price.,5.0,positive
"January 12, 2020",Clear,Nice and practical Easy to clean,5.0,positive
"January 12, 2020",GOOD PRODUCT,Good option.... good quality and it really protect your phone.,5.0,positive
"January 12, 2020",Perfect,"It’s a really good case. If you’re looking for a clear case that won’t turn yellow on the sides, this is it.",5.0,positive
"January 12, 2020","Great phone case, cheap in price not quality","This brand is great! I drop my phone a lot and my phone is perfect! Doesn’t yellow nearly as bad as others, and stays fairly clear. Plus the price is great!",5.0,positive
"January 12, 2020",Great clear case fit!,"Sleek and clear, fits my phone great. Not bulky and with my pop socket it’s perfect",5.0,positive
"January 12, 2020",Nice case,Very happy with the quality,5.0,positive
"January 12, 2020",Good voice for phone case,Slovenia makes really good products.,5.0,positive
"January 12, 2020",Beautiful case,Nice case .,5.0,positive
"January 12, 2020",Good purchase,"Sturdy phone case good value for the money , would definitely recommend this product to family and friends thank you amazon",3.0,negative
"January 12, 2020",This cover is collecting moisture drop !,"This is a good product, however I am surprised why it is collecting water in the back of the phone. At first I thought maybe some water drop really slipped in. So removed the phone and cleaned the phone and the cover. But after that it again happened. I have repeated this cycle multiple times but this water or moisture drop is happening every time. Do you have any solution and has anyone else’s ask faced the same issue",3.0,negative
"January 12, 2020",Great purchase,Spigen never disappoints. Must have case for all my new phones.,5.0,positive
"January 12, 2020",Love it,Holds up great would buy again,5.0,positive
"January 12, 2020",Reliable,Works pretty good and protects the camera and the screen,5.0,positive
"January 11, 2020",Sturdy case!,Very durable case and helps to show off the lavender color on my phone! Is perfectly designed so I can charge on a dock too!,5.0,positive
"January 11, 2020",Awesome,Love the clear case really brings out the color.,5.0,positive
"January 11, 2020",Happy with cover,I have dropped my new  Iphone 11 there times and this cover has been protective.,5.0,positive
"January 11, 2020",Great product.,I use it on my new purple IPhone and can see the beautiful color. Loved it! 💜,5.0,positive
"January 11, 2020",Great case,Great case! Lasted through dropping my phone several times over several months. Easy to clean,5.0,positive
"January 11, 2020",Get this one,Well made case. Easy to put on and remove. Can charge on trickle without removing case. Shipped earlier than advised😋,5.0,positive
"January 11, 2020",hot boy,nice,2.0,negative
"January 11, 2020",Excellent product.,Protects  well.  Great fit.  Looks good-color matches and blends well with phone.  Highly recommended.,5.0,positive
"January 11, 2020",Clean and simple clear case,"Spiegen make great cases. And I have been using them for several years starting from the iPhone 3S. This is the first time I tried their clear case. The clear case looks perfect, is minimalistic yet sleak, slim but strong enough and seems like a sturdy product.",5.0,positive
"April 17, 2020",fit perfect,fit perfect,5.0,positive
"April 17, 2020","Slim design, easy to use buttons on phone","Love this case. Product as described. Easy to use buttons, has raised lip for protection when falls on flat surfaces.",5.0,positive
"April 16, 2020",Nice,A+,5.0,positive
"April 16, 2020",Perfect fit,Good brand always good quality,5.0,positive
"April 16, 2020",Ok,Ok,4.0,positive
"April 16, 2020",Good buy,Just what I wanted.,4.0,positive
"April 15, 2020",Great CASE,My daughter loves the clear case.,5.0,positive
"April 15, 2020",Durable and works,I used this brand on my last iPhone for three years.  Using a good screen protector it survived numerous drops including several on concrete and tile.This one is a bit smoother in the edges making it slightly slippier in hand.  But it goes in and out of the pocket well and has minimal bulk.  Recommend this case.,5.0,positive
"April 15, 2020",Basic case - simple but effective.,Good fit.  Allows charging through my charging pad.  Seems durable for a basic case.,5.0,positive
"April 15, 2020",Just does what's written !,Just does what's written !,5.0,positive
"January 11, 2020",Great!,This is a good clear phone case! I’ve dropped my phone many times and it has not broken.,5.0,positive
"January 11, 2020",Great. I love it.,I really like this!!  I dropped my phone on our concrete steps.  It was face down.  I didn’t want to pick it up.  Eventually I did and it was intact!!!  I love how it shows off my mint green phone!!!,5.0,positive
"January 11, 2020",Durable,Very good product,5.0,positive
"January 11, 2020",Good quality phone case,It’s a great quality cover.,5.0,positive
"January 11, 2020",Slim quality case perfect for iPhone 11’s,"Fast delivery, great quality, slim case, perfect for iPhone 11’s, ordered more for family.",5.0,positive
"January 11, 2020",Good one,Good one. Easy to install.,5.0,positive
"January 11, 2020",Great case !,"Excellent case, performs well",5.0,positive
"January 11, 2020",Perfect,Love it,5.0,positive
"January 11, 2020",Recommend For IPhone 11,This case makes my Red IPhone 11 look even better. It’s fallen so many times and no cracks.,5.0,positive
"January 11, 2020",awesome!,best case hands down and for a great price,5.0,positive
"January 11, 2020",Good,Good,5.0,positive
"January 11, 2020",Perfect Pairing!,Wanted a clear case for iphone11 and the reviews were right. Easy to grip and finger prints wipe right off!,5.0,positive
"January 11, 2020",!!,It good but easy scratche,4.0,positive
"January 10, 2020",Me encantó,Buena calidad a muy buen precio,5.0,positive
"January 10, 2020",Protects very well,Sturdy case for a klutzy girl. Protects my phone when I fumble and drop it!,5.0,positive
"January 10, 2020",Ehh,Its a see through case . With only coloring around the edges. It was a gift for someone else so i guess it was ok.,3.0,negative
"January 10, 2020",Great,Great,4.0,positive
"January 10, 2020",Good case,Fitting snuggly which is nice. Very good value.  The only thing is finger prints are obvious.,5.0,positive
"January 10, 2020",Buy it,It did turn a little yellow but it’s lasted a pretty good while,5.0,positive
"January 10, 2020",Bought 3 of them for my family and everyone is happy,Great product and price,5.0,positive
"January 10, 2020",Great case great price,Inexpensive and works great,5.0,positive
"January 10, 2020",Turns Yellow,Turned yellow,3.0,negative
"January 10, 2020",iPhone 11 clear case,Great quality product!,5.0,positive
"January 10, 2020",Highly recommended,"I have dropped my phone twice while getting out of my truck, this case works great, my phone didn’t get damaged from two 3ft drops on concrete. Case feels nice in hand",5.0,positive
"January 10, 2020",Great Case!!,This is a great and durable product. Would definitely buy again.,5.0,positive
"January 10, 2020",Great product,Was looking for a case to show off my phone product red and this was perfect for it.,5.0,positive
"January 10, 2020",Does a poor job of protecting,Dropped once and shattered screen.,2.0,negative
"January 10, 2020",Sturdy case,"Overall the case is wonderful and I really like it. My only problem was getting the plastic covering off the case. It was not easy, and resulted in me scratching the case with my nails in attempt to get it off.",4.0,positive
"January 10, 2020",Great case!,Perfect case if you’re looking for something not too bulky that will still protect your phone. Love that it’s clear to show my purple phone!,5.0,positive
"January 10, 2020",Great color,The case is a good fit and the color matcha the phone perfectly.,5.0,positive
"January 10, 2020",Difficult to tear off the film,The film on the case is very difficult to remove. You should design an easy way to tear off the film. The case got scratched at where I try to tear off the film.,1.0,negative
"January 10, 2020",Good quality,Love it,5.0,positive
"January 10, 2020",Phone case,Like,5.0,positive
"January 10, 2020",Amazing case,"Really protective and fits and looks great, side buttons are easy to press, and it comes above the screen, but it is a little thick and adds a tad bit of bulk to the phone, but it's not a major problem.",5.0,positive
"January 10, 2020",Great case for the money.,"Bought this for my new Iphone 11 and so far NOT disappointed. Case looks like it will last and best of all, protect.",5.0,positive
"January 9, 2020",Works like it should,"I have been using this case for about a week and I like it. Works like it should - flexible but solid plastic, clear to show of my new teal iphone 11.",5.0,positive
"January 9, 2020",Easy and flexible,Nice product.,5.0,positive
"January 9, 2020",Sleek case that showcases the phone,"Sleek case, love the crystal clear color, hope it holds up as advertised... using with protective glass, love it with the iPhone 11",5.0,positive
"January 9, 2020",Refund or replacement,This product is pretty cheap Got broken in less than two weeks,1.0,negative
"January 9, 2020",Clear back is not for me.,"The case itself is good and seem to protect the phone well, however i did not like the polycarbonate back, it is a fingerprint magnet a prone to scratches. If a clear bake case is what you are after this will be good.",3.0,negative
"January 9, 2020",Grip ability,Too smooth for gripping,3.0,negative
"January 9, 2020",helps give you grip on the slippery 11,"I'm not a fan of big, ugly phone cases so was pleased to find this.  It is hardly noticeable on my new phone.  Thin, and provides protection to the camera lenses.  I was going to go without a case since this is supposed to be a very durable phone.  But, after having it slip from my hands twice I ordered and got my case within a few days.  I like how it makes the buttons on the side easier to use.",5.0,positive
"January 9, 2020",Great value,This case is every bit as good as ones I’ve paid 3-4 times more.,5.0,positive
"January 9, 2020",Just what I was looking for!,Slim design.,5.0,positive
"January 9, 2020",Ok,Easy to hold - seems well designed.  Haven’t dropped yet so can’t comment on protection,5.0,positive
"January 9, 2020",Love this brand,This is my second spigen case I bought now for my iphone 11 and really i am happy with the product. I drop many times my iphone 6 s that had one spigen case and really the case did the job no cracks no scratches really i will recommend to buy this,5.0,positive
"January 9, 2020",It’s a great fit for the iPhone 11,"I used it for the iPhone 11, and the color and design is great.",5.0,positive
"January 9, 2020",Inaccurate description,In accurate website  description...product  made upon cheap plastic....not worth for a dollar,1.0,negative
"January 9, 2020",Thank You!,"A Bumper case with a clear back is what I wanted! This will last the life of the phone, I'm sure of it!",5.0,positive
"January 9, 2020",Great,It’s sleek,5.0,positive
"January 9, 2020",Works great,New IPhone,5.0,positive
"January 9, 2020",Easy to put on,not too bulky and very sturdy,5.0,positive
"January 9, 2020",Five star for years,Used this brand for years because of all five star specs,5.0,positive
"January 8, 2020",Protective case,Nice sturdy case.,5.0,positive
"January 8, 2020",Great case and great price !!!,"I love my phone case! Perfect for me and my kids.I thought the lettering was part of the design on the cover, but I found out that I didn’t take off the film on inner part of cover. Very nice phone case.",5.0,positive
"January 8, 2020",Great Value,Great case for the price! Great Value!,5.0,positive
"January 8, 2020",Easiest install ever,"This is the easiest screen protector we have ever installed.  Nearly fool proof installation.Had to replace kids cover, they peeled it off because they were bored but still great product and never broke!",5.0,positive
"January 8, 2020",Great case and quality!,Can’t beat this case for the price.  The clear back does not scratch nor give you that rainbow effect that cheap clear back cases do.  This is a great case for the price and it’s much cheaper here on amazon than directly on the vendors website.,5.0,positive
"January 8, 2020",Perfect fit,Great case for the money!!,5.0,positive
"January 8, 2020",Great deal!,Very durable and stylish,5.0,positive
"January 8, 2020",Phone Case,The case is very sturdy and protective. It hold the phone very well especially the edges around the screen. Good buy!,5.0,positive
"January 8, 2020",don’t buy,phone fell face up with the case on and the whole back screen shattered. complete waste of money and now my phone is shattered on the back side,1.0,negative
"January 8, 2020","Takes a licking, keeps on ticking",The last 4 iPhones have been in cases by this company and I drop my phone on average very other day. Could not recommend this product highly enough,5.0,positive
"January 8, 2020",Perfect,Exactly what I expected,5.0,positive
"January 8, 2020",Good value,Nice product for the price.,5.0,positive
